date,fund,growth
2021-01-04,Combined Maximum-Sharpe (base),0.9968691164714312
2021-01-05,Combined Maximum-Sharpe (base),1.0530602346532243
2021-01-06,Combined Maximum-Sharpe (base),1.1865352647749383
2021-01-07,Combined Maximum-Sharpe (base),1.2266376298973825
2021-01-08,Combined Maximum-Sharpe (base),1.2359141332974959
2021-01-11,Combined Maximum-Sharpe (base),1.185554817609662
2021-01-12,Combined Maximum-Sharpe (base),1.1626188324217857
2021-01-13,Combined Maximum-Sharpe (base),1.2312265865095224
2021-01-14,Combined Maximum-Sharpe (base),1.2604904496395757
2021-01-15,Combined Maximum-Sharpe (base),1.2025269576788247
2021-01-19,Combined Maximum-Sharpe (base),1.1924348961594484
2021-01-20,Combined Maximum-Sharpe (base),1.1935045070584747
2021-01-21,Combined Maximum-Sharpe (base),1.0963484145936486
2021-01-22,Combined Maximum-Sharpe (base),1.1408890174682422
2021-01-25,Combined Maximum-Sharpe (base),1.1378518805875328
2021-01-26,Combined Maximum-Sharpe (base),1.1373943812812475
2021-01-27,Combined Maximum-Sharpe (base),1.072755415344775
2021-01-28,Combined Maximum-Sharpe (base),1.159346186761759
2021-01-29,Combined Maximum-Sharpe (base),1.1730728108569695
2021-02-01,Combined Maximum-Sharpe (base),1.1926093715997323
2021-02-02,Combined Maximum-Sharpe (base),1.2417453670503216
2021-02-03,Combined Maximum-Sharpe (base),1.2710889535076046
2021-02-04,Combined Maximum-Sharpe (base),1.259604923348123
2021-02-05,Combined Maximum-Sharpe (base),1.2930584724310537
2021-02-08,Combined Maximum-Sharpe (base),1.41744081080083
2021-02-09,Combined Maximum-Sharpe (base),1.4220371009759254
2021-02-10,Combined Maximum-Sharpe (base),1.4218206620175233
2021-02-11,Combined Maximum-Sharpe (base),1.4882229640223341
2021-02-12,Combined Maximum-Sharpe (base),1.5161735941890486
2021-02-16,Combined Maximum-Sharpe (base),1.534985273854548
2021-02-17,Combined Maximum-Sharpe (base),1.5651874745135648
2021-02-18,Combined Maximum-Sharpe (base),1.559737312377503
2021-02-19,Combined Maximum-Sharpe (base),1.6203959880097027
2021-02-22,Combined Maximum-Sharpe (base),1.5531106056599822
2021-02-23,Combined Maximum-Sharpe (base),1.4414632485237107
2021-02-24,Combined Maximum-Sharpe (base),1.472146030105302
2021-02-25,Combined Maximum-Sharpe (base),1.3915105044363472
2021-02-26,Combined Maximum-Sharpe (base),1.4034460624246945
2021-03-01,Combined Maximum-Sharpe (base),1.481653074997286
2021-03-02,Combined Maximum-Sharpe (base),1.4577024818827238
2021-03-03,Combined Maximum-Sharpe (base),1.4747950463782173
2021-03-04,Combined Maximum-Sharpe (base),1.431116560624475
2021-03-05,Combined Maximum-Sharpe (base),1.4578097713510842
2021-03-08,Combined Maximum-Sharpe (base),1.4542113863588944
2021-03-09,Combined Maximum-Sharpe (base),1.504448215103293
2021-03-10,Combined Maximum-Sharpe (base),1.5104891615829463
2021-03-11,Combined Maximum-Sharpe (base),1.536063087460026
2021-03-12,Combined Maximum-Sharpe (base),1.5163770338369251
2021-03-15,Combined Maximum-Sharpe (base),1.4632118548422275
2021-03-16,Combined Maximum-Sharpe (base),1.505045703331813
2021-03-17,Combined Maximum-Sharpe (base),1.5361326355286378
2021-03-18,Combined Maximum-Sharpe (base),1.5078414257964476
2021-03-19,Combined Maximum-Sharpe (base),1.5203130907907858
2021-03-22,Combined Maximum-Sharpe (base),1.4856532018876634
2021-03-23,Combined Maximum-Sharpe (base),1.4852304320145266
2021-03-24,Combined Maximum-Sharpe (base),1.4492863632867865
2021-03-25,Combined Maximum-Sharpe (base),1.4528507601099
2021-03-26,Combined Maximum-Sharpe (base),1.5283355544187043
2021-03-29,Combined Maximum-Sharpe (base),1.5514328177502132
2021-03-30,Combined Maximum-Sharpe (base),1.563363216603196
2021-03-31,Combined Maximum-Sharpe (base),1.5663359308972091
2021-04-01,Combined Maximum-Sharpe (base),1.575496081932675
2021-04-05,Combined Maximum-Sharpe (base),1.5850469056745695
2021-04-06,Combined Maximum-Sharpe (base),1.5806417758456177
2021-04-07,Combined Maximum-Sharpe (base),1.5496645937522042
2021-04-08,Combined Maximum-Sharpe (base),1.57996207089175
2021-04-09,Combined Maximum-Sharpe (base),1.5821517158709835
2021-04-12,Combined Maximum-Sharpe (base),1.5923777383111515
2021-04-13,Combined Maximum-Sharpe (base),1.6251345629332596
2021-04-14,Combined Maximum-Sharpe (base),1.621586222964851
2021-04-15,Combined Maximum-Sharpe (base),1.6461290747414177
2021-04-16,Combined Maximum-Sharpe (base),1.630253590920759
2021-04-19,Combined Maximum-Sharpe (base),1.6179440772625604
2021-04-20,Combined Maximum-Sharpe (base),1.6198453792595713
2021-04-21,Combined Maximum-Sharpe (base),1.6114952646799283
2021-04-22,Combined Maximum-Sharpe (base),1.579081545221126
2021-04-23,Combined Maximum-Sharpe (base),1.5934536567406328
2021-04-26,Combined Maximum-Sharpe (base),1.6451490826280324
2021-04-27,Combined Maximum-Sharpe (base),1.6784134270796904
2021-04-28,Combined Maximum-Sharpe (base),1.6848380025054628
2021-04-29,Combined Maximum-Sharpe (base),1.6875379375892334
2021-04-30,Combined Maximum-Sharpe (base),1.7143232243840574
2021-05-03,Combined Maximum-Sharpe (base),1.7365182191630433
2021-05-04,Combined Maximum-Sharpe (base),1.7193748043178507
2021-05-05,Combined Maximum-Sharpe (base),1.7664240080948552
2021-05-06,Combined Maximum-Sharpe (base),1.7798053863247376
2021-05-07,Combined Maximum-Sharpe (base),1.7956693729459956
2021-05-10,Combined Maximum-Sharpe (base),1.770927639333352
2021-05-11,Combined Maximum-Sharpe (base),1.7690471877966851
