fund,family,method,annualized_return,annualized_vol,sharpe,max_drawdown,periods_per_year,first_live_date,last_date,n_days,n_rebalances
Combined Minimum-Variance,Combined,min_variance,-0.038104734693803155,0.14077321215278582,-0.2706817164365535,-0.18087471598918214,252,2021-01-04,2023-12-29,753,37
Combined Maximum-Sharpe,Combined,max_sharpe,0.2723444410186613,0.24937714634334307,1.0920986345865742,-0.23074518635889785,252,2021-01-04,2023-12-29,753,37
Combined Risk Parity,Combined,risk_parity,0.1394547256948504,0.16203878105765915,0.8606256155754928,-0.19968979477265392,252,2021-01-04,2023-12-29,753,37
Combined Equal Weight,Combined,equal_weight,0.1497918531249407,0.21251687241172795,0.7048468736860363,-0.28746987990265394,252,2021-01-04,2023-12-29,753,37
Equity Minimum-Variance,Equity,min_variance,-0.043571233647456076,0.13899431724928987,-0.3134749283980434,-0.2130986768470844,252,2021-01-04,2023-12-29,753,37
Equity Maximum-Sharpe,Equity,max_sharpe,0.11004040761991374,0.18131334377185543,0.6069073865758957,-0.22867781877783255,252,2021-01-04,2023-12-29,753,37
Equity Risk Parity,Equity,risk_parity,0.10161329120271345,0.14602640384781249,0.6958556023102095,-0.18334707649250948,252,2021-01-04,2023-12-29,753,37
Equity Equal Weight,Equity,equal_weight,0.12643529221978822,0.16166197477746672,0.7820966704992363,-0.20321862626913634,252,2021-01-04,2023-12-29,753,37
Crypto Minimum-Variance,Crypto,min_variance,0.5893560831671609,0.6463033893221781,0.9118876566394899,-0.7338110568672742,365,2021-01-01,2023-12-31,1095,37
Crypto Maximum-Sharpe,Crypto,max_sharpe,-0.19191630978345908,0.7970820993902288,-0.24077357894535065,-0.8949955381420096,365,2021-01-01,2023-12-31,1095,37
Crypto Risk Parity,Crypto,risk_parity,0.3725175209488427,0.7839725589493817,0.475166530634773,-0.7993533692227612,365,2021-01-01,2023-12-31,1095,37
Crypto Equal Weight,Crypto,equal_weight,0.34187978854018186,0.8042210448398298,0.42510674239850477,-0.815973061425794,365,2021-01-01,2023-12-31,1095,37
